epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8885,2.92252,4.22963,6.86571,0.0089,14.7046,8e-05,0.02579,2e-05,1e-05,0.00037,0.08532,0.00033,0.0001,2.54171,3.21935,4.93058,0.00761,0,0.0002375,0.0002375,0.0002375
2,32.6481,2.39326,3.23139,5.7009,0.00654,12.3229,0.00973,0.05622,0.00448,0.00165,0.01105,0.19058,0.00684,0.00238,2.27471,3.52289,4.74777,0.00648,0,0.000487447,0.000487447,0.000487447
3,42.2773,2.26124,3.02101,4.85574,0.00645,9.18908,0.00191,0.06306,0.0121,0.00483,0.00356,0.2156,0.01987,0.00912,2.16127,3.55831,4.30574,0.00591,0,0.00073718,0.00073718,0.00073718
4,51.5193,2.25021,2.892,4.57203,0.00613,6.68117,0.00741,0.36207,0.10011,0.03803,0.00742,0.37738,0.08023,0.0323,2.11195,3.14608,3.93932,0.00567,0,0.000986535,0.000986535,0.000986535
5,61.6248,2.22234,2.86729,4.32384,0.00602,4.76792,0.76739,0.03746,0.11257,0.05105,0.76064,0.036,0.12074,0.04726,2.19564,3.00766,3.71172,0.00602,0,0.00123535,0.00123535,0.00123535
6,71.1765,2.26542,2.97635,3.95125,0.00583,3.90306,0.71636,0.13335,0.15303,0.06902,0.68474,0.12438,0.12925,0.05827,2.23358,2.88689,2.97854,0.0061,0,0.00124661,0.00124661,0.00124661
7,80.693,2.34573,2.91204,3.77271,0.00609,3.58314,0.53024,0.1878,0.16096,0.07136,0.50971,0.16165,0.12608,0.05362,2.22988,2.73416,2.61834,0.00658,0,0.00124512,0.00124512,0.00124512
8,90.3979,2.28196,2.75006,3.52135,0.00625,3.38963,0.52806,0.19095,0.16345,0.07168,0.53824,0.19549,0.17143,0.07502,2.27422,2.6905,2.47025,0.00649,0,0.00124336,0.00124336,0.00124336
9,100.472,2.19399,2.66052,3.36846,0.00551,3.12914,0.69635,0.21966,0.18974,0.07564,0.67501,0.18898,0.15383,0.06279,2.41702,3.20902,2.44556,0.00734,0,0.00124134,0.00124134,0.00124134
10,109.997,2.28384,2.78744,3.31667,0.0066,2.67335,0.21787,0.24423,0.1937,0.08439,0.28508,0.26378,0.21916,0.09786,2.335,2.99768,2.34779,0.00684,0,0.00123904,0.00123904,0.00123904
